train/learning_rate,train/actor_loss,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed,train/n_updates,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps
0.0003,-5.6566481590271,0.014688340947031975,0.4421038031578064,1.5284116805555557,-38.52854537963867,1441,14299,72,200.0,9,14400
0.0003,-5.662117004394531,0.014009298756718636,0.4724453091621399,2.5801419178082194,-32.12995529174805,1461,14499,73,200.0,9,14600
0.0003,-5.8761067390441895,0.013370144180953503,0.48251470923423767,3.86052845945946,-29.729934692382812,1481,14699,74,200.0,9,14800
0.0003,-5.729473114013672,0.012786895036697388,0.3410887122154236,5.13122888,-29.123966217041016,1501,14899,75,200.0,9,15000
0.0003,-5.093528747558594,0.0122451763600111,0.393419086933136,6.486088657894737,-27.03014373779297,1521,15099,76,200.0,9,15200
0.0003,-5.030747413635254,0.01173668447881937,0.28764045238494873,7.744514090909091,-23.47964859008789,1541,15299,77,200.0,9,15400
0.0003,-5.218459129333496,0.0112852668389678,0.3205181062221527,8.320491538461539,-20.46625328063965,1561,15499,78,200.0,9,15600
0.0003,-5.006329536437988,0.010865279473364353,0.33479803800582886,9.615336873417721,-17.30099868774414,1581,15699,79,200.0,9,15800
0.0003,-5.621106147766113,0.010470548644661903,0.31617552042007446,10.635350137500001,-19.488746643066406,1601,15899,80,200.0,9,16000
0.0003,-5.170445442199707,0.010120341554284096,0.3804432153701782,11.774666777777778,-15.151137351989746,1621,16099,81,200.0,9,16200
0.0003,-5.365543365478516,0.009788035415112972,0.28383296728134155,12.653887487804878,-13.397747039794922,1641,16299,82,200.0,9,16400
0.0003,-5.273731708526611,0.009508006274700165,0.45175349712371826,13.740752578313252,-10.139060974121094,1661,16499,83,200.0,9,16600
