train/learning_rate,time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,time/episodes,time/fps,train/actor_loss
0.0003,200,1.0149438381195068,19,200.0,424.500732421875,-0.11052971333265305,99,-27.115132,1,10,49.58043670654297
0.0003,400,1.04412043094635,39,200.0,339.4770812988281,-0.07707244157791138,299,-31.075813500000002,2,10,50.63276290893555
0.0003,600,1.0381104946136475,59,200.0,272.9024353027344,0.138408362865448,499,-21.929047666666666,3,10,38.1966552734375
0.0003,800,1.003543496131897,79,200.0,163.75234985351562,0.024226516485214233,699,-20.936241250000002,4,10,24.669160842895508
0.0003,1000,0.9536038637161255,99,200.0,169.4482421875,-0.30976006388664246,899,-18.336608000000002,5,10,17.544187545776367
0.0003,1200,0.8974419832229614,119,200.0,92.2761459350586,-0.9451977014541626,1099,-18.15424916666667,6,10,2.4470667839050293
0.0003,1400,0.837664008140564,139,200.0,76.33003234863281,-1.6726269721984863,1299,-18.230755714285717,7,10,-1.7379577159881592
0.0003,1600,0.775888979434967,159,200.0,51.451820373535156,-2.708606243133545,1499,-19.298770500000003,8,10,-6.127020835876465
0.0003,1800,0.7185643911361694,179,200.0,40.08808898925781,-3.9571635723114014,1699,-19.025952777777782,9,10,-14.824338912963867
0.0003,2000,0.6656906604766846,199,200.0,41.499847412109375,-5.517597675323486,1899,-17.804640000000003,10,10,-18.97211265563965
0.0003,2200,0.617495596408844,219,200.0,19.00033950805664,-6.22139835357666,2099,-17.566148727272733,11,10,-19.611536026000977
0.0003,2400,0.5737058520317078,239,200.0,16.52110481262207,-7.448470592498779,2299,-17.512145083333337,12,10,-20.7193603515625
0.0003,2600,0.5334234833717346,259,200.0,14.22964096069336,-9.43065357208252,2499,-16.629571230769233,13,10,-23.156919479370117
0.0003,2800,0.49664950370788574,280,200.0,11.734685897827148,-10.899918556213379,2699,-15.932113285714289,14,9,-23.148202896118164
0.0003,3000,0.4627707898616791,300,200.0,11.75649642944336,-11.90808391571045,2899,-15.196777933333335,15,9,-24.151670455932617
0.0003,3200,0.43201014399528503,320,200.0,7.234936237335205,-12.700693130493164,3099,-13.8200495,16,9,-24.024322509765625
0.0003,3400,0.40399473905563354,340,200.0,8.215227127075195,-14.438948631286621,3299,-13.572820882352941,17,9,-23.715991973876953
0.0003,3600,0.3781358599662781,360,200.0,7.819704055786133,-16.270883560180664,3499,-13.50812361111111,18,9,-24.544574737548828
0.0003,3800,0.35382041335105896,380,200.0,4.485445976257324,-16.936931610107422,3699,-13.37790242105263,19,9,-23.29513931274414
0.0003,4000,0.3311292231082916,400,200.0,5.17464017868042,-18.359350204467773,3899,-13.30387395,20,9,-22.44373893737793
0.0003,4200,0.31030890345573425,420,200.0,2.4794249534606934,-18.987323760986328,4099,-13.206395142857142,21,9,-21.660892486572266
0.0003,4400,0.2911375164985657,440,200.0,3.4246602058410645,-20.052473068237305,4299,-12.936003454545453,22,9,-21.177793502807617
0.0003,4600,0.27338141202926636,460,200.0,2.6926283836364746,-21.06458854675293,4499,-13.245242999999999,23,9,-21.02264404296875
0.0003,4800,0.2562967538833618,480,200.0,2.3228206634521484,-23.914474487304688,4699,-13.395645166666668,24,9,-20.27855682373047
0.0003,5000,0.24027271568775177,500,200.0,1.5479111671447754,-25.28568458557129,4899,-12.8047032,25,9,-19.495956420898438
0.0003,5200,0.2254365235567093,520,200.0,1.5428392887115479,-25.561546325683594,5099,-12.402120576923078,26,9,-18.97563934326172
0.0003,5400,0.21170713007450104,540,200.0,3.256044864654541,-27.5001277923584,5299,-11.78616977777778,27,9,-17.845806121826172
0.0003,5600,0.19882607460021973,560,200.0,4.2704877853393555,-28.398195266723633,5499,-11.160603607142859,28,9,-16.92147445678711
0.0003,5800,0.18681256473064423,580,200.0,1.907109260559082,-29.91761016845703,5699,-10.552405103448278,29,9,-16.79179573059082
0.0003,6000,0.17557181417942047,600,200.0,2.0527892112731934,-30.47441864013672,5899,-10.077649333333335,30,9,-15.749096870422363
0.0003,6200,0.1650598794221878,620,200.0,1.6028447151184082,-32.00768280029297,6099,-9.549553161290323,31,9,-15.09241008758545
0.0003,6400,0.15524931252002716,640,200.0,1.804027795791626,-33.11964416503906,6299,-9.487908156249999,32,9,-14.23985481262207
0.0003,6600,0.14603066444396973,660,200.0,0.9596489667892456,-34.196800231933594,6499,-9.38682112121212,33,9,-13.510501861572266
0.0003,6800,0.13739262521266937,680,200.0,1.1284575462341309,-34.91407775878906,6699,-9.74002082352941,34,9,-13.022964477539062
0.0003,7000,0.12929292023181915,700,200.0,0.6587493419647217,-36.84607696533203,6899,-9.47588417142857,35,9,-12.067926406860352
0.0003,7200,0.12171951681375504,720,200.0,0.6627427339553833,-37.23991012573242,7099,-9.212086277777775,36,9,-11.363953590393066
0.0003,7400,0.11459795385599136,740,200.0,1.071855068206787,-36.939231872558594,7299,-9.010294459459457,37,9,-10.848999977111816
0.0003,7600,0.1079077273607254,760,200.0,0.7324800491333008,-39.38591384887695,7499,-8.682726973684208,38,9,-10.172430992126465
